ΤΙΤΛΟΣ,ΛΟΓΟΚΡΙΣΙΑ,ΚΑΤΗΓΟΡΙΑ,ΥΠΟΚΑΤΗΓΟΡΙΑ,ΠΕΡΙΓΡΑΦΗ,ΑΝΑΠΑΡΑΣΤΑΣΗ,ΠΕΡΙΟΔΟΣ,ΧΡΟΝΟΣ,ΦΥΛΟ,ΕΓΚΑΤΑΣΤΑΣΗ,ΕΤΟΣ,ΔΕΚΑΕΤΙΑ,ΕΙΔΟΣ,ΔΗΜΙΟΥΡΓΟΣ,ΚΑΤΑΓΩΓΗ,ΦΟΡΕΑΣ,ΕΠΙΓΡΑΜΜΑ,ΥΛΙΚΟ,ΥΛΙΚΟ-ΠΕΡΙΓΡΑΦΗ,ΤΟΠΟΘΕΣΙΑ,ΚΑΤΕΥΘΥΝΣΗ,ΤΟΠΟΘΕΣΙΑ,ΕΙΚΟΝΑ,ΜΙΚΡΟΓΡΑΦΙΑ,ΣΥΝΤΕΤΑΓΜΕΝΕΣ
ΑΓΓΕΛΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΤΕΧΝΗ,"Ο Θόδωρος Αγγελόπουλος (Αθήνα, 27 Απριλίου 1935 - 24 Ιανουαρίου 2012) ήταν Έλληνας σκηνοθέτης, σεναριογράφος και παραγωγός κινηματογράφου. Έχει τιμηθεί με βραβεία στην Ελλάδα και το εξωτερικό για την προσφορά του στον κινηματογράφο, με σπουδαιότερο της καλύτερης ταινίας με τον Χρυσό Φοίνικα στο Φεστιβάλ των Καννών το 1998 για την ταινία Μία αιωνιότητα και μία μέρα. Ανάμεσα στις πιο γνωστές ταινίες του είναι: Τοπίο στην Ομίχλη, Μία αιωνιότητα και μία μέρα, Ο Θίασος, Το Βλέμμα του Οδυσσέα και Ο Μεγαλέξαντρος.",ρεαλιστική,Νεότερη,20ός-21ος αι.,άνδρας,2017-02-01,2017,2011-2020,προτομή,Γκόλνα Χριστίνα,Φλώρινα,,«ΘΟΔΩΡΟΣ ΑΓΓΕΛΟΠΟΥΛΟΣ 1935-2012»,γύψος,,"Βρίσκεται στο φουαγέ του Πολιτιστικού Κέντρου Φλώρινας, δεξιά καθώς μπαίνουμε από την είσοδο.",βόρεια,εσωτερικός χώρος,http://www.learn4change.gr/files/statues-photos/800px/aggelopoulos.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/aggelopoulos.png,"40.78445614505267, 21.40621791786125"
ΑΓΡΟΤΕΣ,ψυχρό,ΕΝΝΟΙΕΣ,ΕΚΠΑΙΔΕΥΣΗ,Μνημείο αφιερωμένο στους αγρότες και τις αγρότισσες.,ρεαλιστική,Διαρκής,Διαρκής,άνδρας+γυναίκα,1977-07-01,1977,1971-1980,αναθηματικός τοίχος,Βυζάντης Ηλίας,Φλώρινα,"Διεύθυνση Γεωργίας, χρηματοδότηση από το Γεωργικό Ταμείο",«Δεν φτάνει ο ήλιος μοναχά η γη σοδειά να δώσει / Χρειάζονται και άλλα πολλά και προ παντός η γνώση»,λαδομπογιά,Ζωγραφική σε λαμαρίνα με λαδομπογιά,"Ζωγραφική αναπαράσταση αναρτημένη στον βορεινό τοίχο του Κέντρου <i>Δήμητρα</i>, στα δυτικά της πόλης απέναντι από την είσοδο του κεντρικού κτιρίου της Σχολής Γεωπονικών Επιστημών.",βόρεια,κτίριο,http://www.learn4change.gr/files/statues-photos/800px/agrotes.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/agrotes.png,"40.778811, 21.387334"
ΑΠΕΛΕΥΘΕΡΩΣΗ ΤΗΣ ΦΛΩΡΙΝΑΣ 1912,ψυχρό,ΕΝΝΟΙΕΣ,ΕΛΕΥΘΕΡΙΑ,"Μνημείο αφιερωμένο στην Απελευθέρωση της Φλώρινας από τους Οθωμανούς το 1912. Στο ψηφιδωτό εικονίζεται ιερέας να παραδίδει το κλειδί της πόλης στον αρχιστράτηγο της ελληνικής στρατιάς, διάδοχο Κωνσταντίνο. Πίσω του στέκονται δυο Έλληνες αξιωματικοί, ενώ πίσω από τον ιερέα στέκουν νεαρός άνδρας με ευρωπαϊκή ενδυμασία και ηλικιωμένος Οθωμανός.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2012-11-08,2012,2011-2020,αναθηματικός τοίχος,Μοναχές Παναγίας του Έβρου,Έβρος;,"Μητρόπολη Φλωρίνης, Πρεσπών και Εορδαίας  - Δαπάναις της Περιφερειακής Ενότητος Φλωρίνης",«Η ΑΠΕΛΕΥΘΕΡΩCΗ ΤΗC ΦΛΩΡΙΝΑC 1912»,μάρμαρο,Ψηφιδωτό σε μαρμάρινη βάση με ανάγλυφο το αστέρι της Βεργίνας,"Βρίσκεται στον αύλειο χώρο του Μητροπολιτικού Μεγάρου, δεξιά από τις σκάλες και κοιτάζει βόρεια προς την Οδό Μητροπόλεως. Αριστερά από τις σκάλες υπάρχει η προτομή του μητροπολίτη Αυγ. Καντιώτη, ενώ στη νότια πλευρά του ναού του Αγίου Παντελεήμονα υπάρχει άγαλμα ορθόδοξου κληρικού.",βόρεια,αυλή,http://www.learn4change.gr/files/statues-photos/800px/paradosi.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/paradosi.png,"40.778525, 21.405911"
ΑΡΙΣΤΟΤΕΛΗΣ,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΦΙΛΟΣΟΦΙΑ,Ο Αριστοτέλης (384 π.Χ. - 322 π.Χ.) ήταν αρχαίος Έλληνας φιλόσοφος και πολυεπιστήμονας.,ρεαλιστική,Κλασική,4ος αι. π.Χ.,άνδρας,2013-05-01,2013,2011-2020,ανδριάντας,Δογούλης Νικόλας,Φλώρινα,Φ.Σ.Φ. <i>Αριστοτέλης</i> - Χορηγία οικογένειας Ρόζα,«Άνθρωπος του ειδέναι ορέγεται φύσει - Αριστοτέλης»,ορείχαλκος,"Ορειχάλκινος, σε μαρμάρινο βάθρο","Με όψη προς τα ανατολικά, αποτελεί μέρος μνημειακού συνόλου που βρίσκεται στο ανατολικό μέρος της Πλατείας Επτά Ηρώων, στην αυλή μπροστά από το κτίριο του Φ.Σ.Φ. <i>Ο Αριστοτέλης</i> και εν μέρει στην Πλατεία, μαζί με το Μνημείο των Επτά Ηρώων, την προτομή του Θεόδωρου Θωμαΐδη και το άγαλμα του νέου, έξω από την αυλή. ",ανατολικά,αυλή,http://www.learn4change.gr/files/statues-photos/800px/aristotelis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/aristotelis.png,"40.777789, 21.40428"
ΑΡΙΣΤΟΤΕΛΗΣ Ο ΣΤΑΓΕΙΡΙΤΗΣ,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΦΙΛΟΣΟΦΙΑ,Ο Αριστοτέλης (384 π.Χ. - 322 π.Χ.) ήταν αρχαίος Έλληνας φιλόσοφος και πολυεπιστήμονας.,ρεαλιστική,Κλασική,4ος αι. π.Χ.,άνδρας,1969-07-01,1969,1961-1970,προτομή,Αντίγραφο,Άγνωστη,,«ΑΡΙΣΤΟΤΕΛΗΣ Ο ΣΤΑΓΕΙΡΙΤΗΣ»,ορείχαλκος,,"Βρίσκεται στο φουαγέ του Πολιτιστικού Κέντρου Φλώρινας, απέναντι από την είσοδο και δεξιά του ανάγλυφου που απεικονίζει τον ίδιο να διδάσκει τον Μέγα Αλέξαντρο.",νότια,εσωτερικός χώρος,http://www.learn4change.gr/files/statues-photos/800px/aristotelis1.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/aristotelis1.png,"40.78451199462292, 21.406213894547605"
ΑΡΚΟΥΔΑ,ψυχρό,ΕΝΝΟΙΕΣ,ΦΥΣΗ,"Η καφέ αρκούδα είναι θηλαστικό ζώο και στην Ελλάδα ζει κυρίως στις δυτικές και βορειοδυτικές περιοχές. Τρέφεται με φυτά, ψάρια, μέλι, πτηνά και τρωκτικά. Έχει οξεία όσφρηση και ασθενή όραση. Τα μικρά γεννιούνται τον χειμώνα, ζυγίζουν μερικές εκατοντάδες γραμμάρια και μένουν με την μητέρα τους πάνω από δύο χρόνια.",ρεαλιστική,Διαρκής,Διαρκής,χωρίς φύλο,2010-10-15,2010,2001-2010,άγαλμα,Δογούλης Νικόλας,Φλώρινα,Νομαρχία Φλώρινας,«Επί Νομάρχη Ιωάννη Βοσκόπουλου Οκτώβριος 2010»,ορείχαλκος,"Ορειχάλκινη, σε πέτρινο βάθρο.","Βρίσκεται στο νότιο και κεντρικό μέρος του πάρκου του Διοικητηρίου, με κατεύθυνση προς τα ανατολικά. Στην ίδια αυλή υπάρχουν οι προτομές του Κ. Κανάρη και  του Καπετάν Κώττα.",ανατολικά,πάρκο,http://www.learn4change.gr/files/statues-photos/800px/arkouda.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/arkouda.png,"40.781874, 21.408073"
ΒΕΝΙΖΕΛΟΣ ΕΛΕΥΘΕΡΙΟΣ,θερμό,ΠΟΛΙΤΙΚΗ,ΠΡΩΘΥΠΟΥΡΓΟΣ,Ο Ελευθέριος Βενιζέλος (1864-1936) ήταν πολιτικός που διετέλεσε πρωθυπουργός της Κρητικής Πολιτείας και επτά φορές πρωθυπουργός της Ελλάδας. Ως πολιτικός διαδραμάτισε σημαντικό ρόλο στο Κρητικό Ζήτημα καθώς και στα πολιτικά δρώμενα της Ελλάδας από το 1910 έως τον θάνατό του το 1936.,ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2012-11-11,2012,2011-2020,προτομή,Τσώτσος Χρήστος,Φλώρινα,Ένωση Κρητών Ν. Φλώρινας,"«Ελευθέριος Κ. Βενιζέλος, 1864-1936, Πρωθυπουργός - Δημιουργός της νεότερης Ελλάδας, ""Ο πολιτικός ανήρ οφείλει να λέγη πάντοτε την αλήθειαν και προς τα άνω και προς τα κάτω.""»",ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο","Βρίσκεται στην πλατεία Μεγάλου Αλεξάνδρου στην είσοδο της πόλης, δυτικά από τον Κύκλο. Κοιτάζει νότια. Στην ίδια Πλατεία βρίσκεται το άγαλμα της Αρκούδας Κοντράλτο και μια Επιτύμβια Στήλη της Ρωμαϊκής εποχής.",νότια,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/venizelos.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/venizelos.png,"40.782469, 21.413644"
ΓΕΝΟΚΤΟΝΙΑ ΕΛΛΗΝΩΝ ΤΟΥ ΠΟΝΤΟΥ,θερμό,ΕΝΝΟΙΕΣ,ΓΕΝΟΚΤΟΝΙΑ,"Η Γενοκτονία των Ελλήνων του Πόντου αναφέρεται σε σφαγές και εκτοπισμούς εναντίον ελληνικών πληθυσμών στην περιοχή του Πόντου, που πραγματοποιήθηκαν από το κίνημα των Νεότουρκων κατά την περίοδο 1914-1923. Εκτιμάται ότι στοίχισε τη ζωή περίπου 326.000-382.000 Ελλήνων. Οι επιζώντες κατέφυγαν στην ΕΣΣΔ και στην Ελλάδα. Το 1994, η Βουλή των Ελλήνων αναγνώρισε τη Γενοκτονία και ψήφισε την ανακήρυξη της 19ης Μαϊου ως «Ημέρα Μνήμης της Γενοκτονίας των Ελλήνων του Πόντου».",συμβολική,Νεότερη,20ός αι.,άνδρας,1996-05-15,1996,1991-2000,άγαλμα,Χατζηβασιλειάδης Χάρης,Φλώρινα,Εύξεινος Λέσχη Φλώρινας,"«Απ' τη Γενοκτονία στην Αναγέννηση, Υπέρ της Γενοκτονίας 350000 Ελλήνων του Πόντου περίοδο 1916-1923, Εύξεινος Λέσχη Φλώρινας»",μάρμαρο,"Από λευκό μάρμαρο, σε μαρμάρινο βάθρο","Το μνημείο βρίσκεται στη βορειοδυτική γωνία της Πλατείας Μητροπολίτου Τραπεζούντος Χρυσάνθου, με πρόσοψη βόρεια προς τη λεωφόρο Κ. Καραμανλή, απέναντι από το 1ο Λύκειο Φλώρινας. Επί της λεωφόρου Κ. Καραμανλή βρίσκονται δύο προτομές μακεδονομάχων, του Ζώη και του Σούλιου, δύο μνημεία, για τη Γενοκτονία των Ποντίων και την Ελληνική Χωροφυλακή και η προτομή του Καστρισιανάκη, νεκρού του Εμφυλίου πολέμου.",βόρεια,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/genoktonia.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/genoktonia.png,"40.78179, 21.401338"
ΓΡΗΓΟΡΙΟΥ ΣΤΕΦΑΝΟΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,"Ο Καπετάν Στέφος (Στέφανος Γρηγορίου) γεννήθηκε στο Μοναστήρι. Έδρασε ως οδηγός ανταρτικών ομάδων και οπλαρχηγός κατά τον Μακεδονικό αγώνα. Συμμετείχε στους Βαλκανικούς πολέμους, στον αγώνα των Βορειοηπειρωτών για ένωση με την Ελλάδα, στην ανακατάληψη της Φλώρινας το 1916 από τις δυνάμεις της Αντάντ, συγκρότησε ένοπλο σώμα για την αντιμετώπιση ομάδων Βούλγαρων κομιτατζήδων που δρούσαν ανεξέλεγκτα εντός της ελληνικής επικράτειας τη δεκαετία του 1920. Διετέλεσε αξιωματικός της Χωροφυλακής, περίοδος κατά την οποία κατηγορήθηκε για αυθαιρεσίες και πράξεις βίας με ίδιον όφελος. Ανέπτυξε αντιστασιακή δράση κατά την Κατοχή, ένωσε τις δυνάμεις του με αυτές του Ε.Λ.Α.Σ., αλλά δολοφονήθηκε από ελασίτες το 1943.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1960-08-28,1960,1951-1960,προτομή,Μωραΐτης Πέτρος,Τήνος,Ερανική Επιτροπή Ανεγέρσεως Προτομών και Ανδριάντων Ν. Φλώρινας,«ΣΤΕΦΑΝΟΣ ΓΡΗΓΟΡΙΟΥ ΟΠΛΑΡΧΗΓΟΣ»,ορείχαλκος,"Από χαλκό, σε μαρμάρινο βάθρο",Βρίσκεται στη νησίδα επί της Οδού Σαρανταπόρου και έχει όψη νότια προς την Οδό Π. Μελά. Στο βόρειο άκρο της νησίδας βρίσκεται η προτομή του Π. Χρήστου.,νότια,νησίδα,http://www.learn4change.gr/files/statues-photos/800px/grigoriou.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/grigoriou.png,"40.780407, 21.409722 "
ΓΥΝΑΙΚΑ ΤΗΣ ΒΕΥΗΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,"Ανώνυμη γυναίκα που αγωνίζεται στον Μακεδονικό αγώνα. Το μνημείο είναι, επίσης, γνωστό με τα ονόματα Κόρη της Βεύης, Κόρη του Βορρά, Φλωρινιώτισσα.",συμβολική,Νεότερη,20ός αι.,γυναίκα,1964-07-01,1964,1961-1970,άγαλμα,Δογούλης Νικόλας,Φλώρινα,Ερανική Επιτροπή Ανεγέρσεως Προτομών και Ανδριάντων Ν. Φλώρινας,"«Δογούλης Νικόλας, Γλύπτης ο Φλωρινέος, εποίει, 1964, χαλκοτεχνίτες Αφοί Καρκαδούλια» [Σε χάλκινη πινακίδα στο βάθρο]",ορείχαλκος,Ορειχάλκινος ανδριάντας πάνω σε ογκόλιθο από γρανίτη,Βρίσκεται στο δυτικό άκρο του Πάρκου του Σιδηροδρομικού Σταθμού (Κάτω Μπουάτ) και έχει όψη δυτικά προς τη συμβολή των οδών Ι. Άρτη και Σιδ. Σταθμού.,δυτικά,πάρκο,http://www.learn4change.gr/files/statues-photos/800px/vevi.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/vevi.png,"40.781382, 21.413378"
